applied,edit_similarity,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,tests_passed,token_usage,ttft_s
False,,0,rag_dense,astropy__astropy-12907,1.0529424540000036,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,astropy__astropy-14182,0.9058637500002078,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,astropy__astropy-14365,0.9284515929998634,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,astropy__astropy-14995,0.8583916590000626,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,,0,rag_dense,astropy__astropy-6938,0.7137996270002986,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,astropy__astropy-7746,0.7131310910003776,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-10914,1.864600763999988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-10924,1.9219528699995863,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11001,1.7899207699997532,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11019,1.834280277000289,0.3333333333333333,0.0,0.5,0.5,0.5,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11039,1.8663413060003222,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11049,1.8928203700002086,0.25,0.0,0.43067655807339306,0.0,0.43067655807339306,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11099,1.8722306360000402,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11133,1.843897102000028,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11179,1.8150286300001426,0.1111111111111111,0.0,0.3010299956639812,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11283,1.7659004010001809,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11422,1.7864389870001105,0.5,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11564,1.8450519520001762,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11583,1.8189220350000141,0.5,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11620,1.9679753840000558,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11630,1.8275566420002178,0.16666666666666666,0.0,0.3562071871080222,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11742,1.8387831270001698,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11797,1.8783754290002435,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11815,1.8757981879998624,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11848,1.8470699120002791,0.3333333333333333,0.0,0.5,0.5,0.5,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11905,1.8328733150001426,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11910,1.8137502639997365,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-11964,1.8412492730003578,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-11999,1.8280690689998664,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12113,1.8827788300000066,0.16666666666666666,0.0,0.3562071871080222,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12125,1.9149333309997019,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12184,1.8494949519999864,0.1111111111111111,0.0,0.3010299956639812,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12284,1.9039734890002364,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12286,1.9202173089997814,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-12308,1.788471895999919,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12453,1.888919259999966,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12470,1.8972280959997079,0.2,0.0,0.38685280723454163,0.0,0.38685280723454163,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,,0,rag_dense,django__django-12497,1.8563543179998305,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12589,1.818356544999915,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12700,1.9336879800002862,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12708,1.8537290869999197,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12747,1.8534555370001726,0.2,0.0,0.38685280723454163,0.0,0.38685280723454163,0,0.0,0.1,0.0,0.2,0.0,1.0,0.0,1.0,False,0.0,
False,,0,rag_dense,django__django-12856,1.9245574790002138,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12908,1.8577742540001054,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-12915,1.8971859700000095,0.3333333333333333,0.0,0.5,0.5,0.5,0,0.0,0.1,0.3333333333333333,0.2,0.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_dense,django__django-12983,1.9115347330002805,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-13028,1.8917036109996843,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-13033,1.8546204909998778,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-13158,1.8304215299999669,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_dense,django__django-13220,1.918804786000237,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-12907,0.5173860809995858,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-14182,0.4748086540002987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-14365,0.4924893610000254,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-14995,0.5146589730002233,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-6938,0.32782823799971084,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
False,,0,rag_bm25,astropy__astropy-7746,0.3475402750000285,1.0,1.0,1.0,1.0,1.0,0,1.0,0.1,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,False,0.0,
