applied,edit_similarity,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@1,ndcg@10,ndcg@3,ndcg@5,pass_to_pass,precision@1,precision@10,precision@3,precision@5,recall@1,recall@10,recall@3,recall@5,tests_passed,token_usage,ttft_s
False,,0,react_agent,astropy__astropy-12907,22.773344888000793,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,32392.0,3.208853440999519
False,,0,react_agent,astropy__astropy-14182,25.809874316000787,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,30153.0,1.8073119079999742
False,,0,react_agent,astropy__astropy-14365,39.78413935299977,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19032.0,1.7942572819993075
False,,0,react_agent,astropy__astropy-14995,72.39681287999883,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,80279.0,2.8046373599991057
False,,0,react_agent,astropy__astropy-6938,20.81899871800124,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,30769.0,1.6002158209994377
False,,0,react_agent,astropy__astropy-7746,32.35440530300002,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,False,34136.0,2.2582280650003668
False,,0,react_agent,django__django-10914,10.365213712000696,1.0,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0,1.0,0.4,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,False,18143.0,1.7896855790004338
False,,0,react_agent,django__django-10924,14.720065719000559,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,False,20402.0,2.391020708000724
False,,0,react_agent,django__django-11001,54.15720388099908,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,False,65444.0,2.343114934999903
False,,0,react_agent,django__django-11019,47.470339182000316,1.0,1.0,0.3903800499921017,0.46927872602275644,0.3903800499921017,0,1.0,0.5,0.5,0.5,1.0,0.25,0.3333333333333333,0.25,False,39457.0,23.172548401000313
False,,0,react_agent,django__django-11039,16.606604990998676,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,19245.0,1.8025643929995567
False,,0,react_agent,django__django-11049,14.356664181999804,1.0,1.0,0.6131471927654584,0.6131471927654584,0.6131471927654584,0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,False,17447.0,1.0221520729992335
