applied,fail_to_pass,gatherer,instance_id,latency_s,mrr,ndcg@10,ndcg@20,ndcg@5,pass_to_pass,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5,tests_passed,token_usage,ttft_s
False,0,rag_bm25,astropy__astropy-12907,0.4040655680000782,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,astropy__astropy-14182,0.37921462301164865,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,astropy__astropy-14365,0.38973054592497647,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,astropy__astropy-14995,0.4002057999605313,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,astropy__astropy-6938,0.25751496106386185,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,astropy__astropy-7746,0.29086244595237076,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-10914,0.5507261480670422,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-10924,0.5388542580185458,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11001,0.5354336120653898,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11019,0.5903749500866979,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11039,0.5336353039601818,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11049,0.5133784209610894,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11099,0.5213523299898952,0.1,0.2890648263178879,0.2890648263178879,0.0,0,0.1,0.05,0.0,1.0,1.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11133,0.5198256730800495,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11179,0.5066275849239901,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11283,0.5434055239893496,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11422,0.5222320490283892,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11564,0.5599144169827923,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11583,0.5556892739841715,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11620,0.5321082579903305,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11630,0.5352906089974567,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11742,0.5305333320284262,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11797,0.5540830009849742,0.09090909090909091,0.0,0.27894294565112987,0.0,0,0.0,0.05,0.0,0.0,1.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11815,0.5541956420056522,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11848,0.5504946910077706,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11905,0.5637735379859805,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11910,0.5384495499311015,1.0,1.0,1.0,1.0,0,0.1,0.05,0.2,1.0,1.0,1.0,False,0.0,
False,0,rag_bm25,django__django-11964,0.5462836819933727,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
False,0,rag_bm25,django__django-11999,0.5650609009899199,0.0625,0.0,0.24465054211822604,0.0,0,0.0,0.05,0.0,0.0,1.0,0.0,False,0.0,
False,0,rag_bm25,django__django-12113,0.5713840780081227,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,
